Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Samoa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;58,9;59,4;55,8;53,8;50,3;42,8;39,8;34,2;33,5;31,5;28,2;33,3;40,3;41,5;50,9;54,1;54,9;56,4;49;46,7;49,4;44,3;43,2;46,3;43,8;35,4;27,7;22,5;19,4;20,5;21,6;22,8;24
San Marino;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,6;17,2;16,1;16,9;14,5;14,2;12,6;15,5;20,1;20;16,6;17,2;23,2;21;19,3;21,4;56,6;56,7;56,2;69,8;77,2;71,3;69,9;65,2;64,1;62,8;61,4;59,3;57,2;55,1
Saudi Arabia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;39,4;47,8;58,6;67,9;74,2;75,2;76,7;101,5;103;86,7;93,1;96,4;81,6;62,9;37,3;25,8;17,1;12,1;14;8,4;5,3;3;2,1;1,5;5,7;12,7;16,5;17,6;21,6;31;28,6;23,8;26,2;29,9;34,8;38,5;40,9;42,9;44,5;45,9
Senegal;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,1;67,8;18,8;15;57,5;53,2;52;42,9;38;36,1;17,5;19;19,1;29,9;34,6;32,9;34,5;36,9;42,4;44,5;47,5;61,1;61,5;72,1;81,6;89,4;94,6;107,4;113,7;111,4;110,6;107,1;103,5;100,7;97,1
Republic of Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;200,6;95,9;68,4;64,4;57,6;50,1;37;30;29,4;32,6;38,2;42;51,7;54,1;63,5;67,1;65;55,3;51,1;49,5;54,3;53,6;50,9;45,7;44,5;44,4;44,1;44,3;44;43,7;43,2
Seychelles;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;80,4;89,2;79,9;82,2;123,5;133,5;146,7;143;161,2;159,8;177,8;199,8;195,9;177;163,2;144,1;135,1;144;192,1;106,1;82,2;82,5;80,1;68,2;70,4;64,7;62,8;56,7;51,3;48,9;77,4;71,2;60;55,3;57,8;59,3;57,6;54,5;51,3;47,5;44,1
Sierra Leone;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;113,5;99,8;99,8;93,2;78,9;61,9;26,4;46,1;31,1;28,9;25,8;24,1;22,3;26,8;28,8;38,9;44,2;44,2;45,3;46,4;47,1;54;49,9;43;44,3;44,6;42,3;39,8;38,6;37,8
Singapore;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;73,5;76,4;79;71,2;70,7;69,8;71,3;70,8;84,6;85,3;82,3;94,5;96,3;99,1;95,7;92,7;86,5;87,8;97,9;101,7;98,7;103,1;106,7;98,2;97,7;102,2;106,3;107,6;109,4;127,9;148,2;141,7;154,3;172,8;174,3;174,9;175,6;176,3;177,1;177,6;178
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21,3;30,3;32,8;33,8;47;50,5;51,2;45,4;43,5;41,9;34,9;31,4;30,3;28,6;36,4;40,6;43,3;51,7;54,6;53,3;51,5;52;51,3;49,2;47,9;58,3;60,1;57,6;56;58;60,1;64,3;67,8;71;74,2;77,4
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18,2;21,6;22,1;22,8;23,8;26,1;26,3;27,7;27;27,1;26,6;26,2;22,9;21,9;34,9;38,6;46,8;54,1;70,8;81,1;83,4;79,4;74,9;71;66;80,2;74,8;72,7;68,4;67;68;66,7;65,5;64,8;64,1;63,8
Solomon Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;25,9;39,5;42;44,3;52,8;65,7;61,3;58,2;44,7;42,3;33;28,9;18,9;22,9;18,3;13,3;11,6;10,1;7,9;7,5;8,8;7,9;7,8;12,8;15,9;15,5;20,3;22;23,7;25,4;27,1;28,6;30,1;31,4
South Africa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;37,9;38;31,8;31,5;30,7;29,6;28;24,3;24;27;31,2;34,7;37,4;40,4;43,3;45,2;47,1;48,6;51,5;56,1;68,9;68,7;70,8;73,4;76,4;79,6;81,7;83,7;85,5;87,1;88,7
South Sudan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0;8,9;17,6;38,1;57,2;150,5;163;80,3;43,1;49;51,1;39,1;49,7;54,3;63,2;35,2;25,2;23,1;21,5;21,6
Spain;16,1;19,4;24,4;29,5;36;40,9;42,1;41,9;38,5;39,9;41,3;41,9;44,1;54,6;57;61,6;65,4;64,3;62,4;60,9;57,8;54,1;51,2;47,7;45,3;42,4;39;35,7;39,6;53,1;60,3;69,5;89,6;100;104,4;102,4;102;101,1;99,7;97,6;119,2;115,6;109,4;105;101,8;100,6;99;97,6;96;94,5;93
Sri Lanka;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;78,9;80,5;77,9;79,2;77,9;77,8;76,2;70,1;74,2;77,7;79,2;84,4;96,3;86,5;86,5;76,6;74,3;71,8;68,8;72,8;68,7;69,4;67,5;69,5;69,6;76,3;75;72,3;83,6;82,6;96,9;102,7;115,9;110,4;99,4;no data;no data;no data;no data;no data;no data
Sudan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;495,2;285,9;386,5;239;220,9;167,7;179,7;160,5;143,2;125,6;121,7;117,4;97,8;75,5;63,7;53,7;55,8;71;74,6;78,1;117,7;105,8;84,4;93,2;109,9;149,5;209,8;216,5;278,3;189,6;186,8;259,6;272;252;207,4;176,4;161,8;151,6;144,1
Suriname;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;72,9;75,7;64,4;51,1;30,5;16,3;11,8;16,8;21,6;32,3;48,4;37,2;37,4;31,5;29,4;27,1;22,5;16,4;14,8;14,6;17,3;18,7;20,1;27,9;25,2;41,2;75,4;73;68,6;84;146,4;115,8;116,9;98,2;87,2;86,6;81,1;75,4;39,9;27,3;23
Sweden;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;66,1;68,6;68,7;68,9;67,7;65,4;60,3;50,4;52;49,8;49,4;48,7;48,9;43,8;39,2;38;41,2;38,6;37,7;38;40,8;45,7;44,5;42,8;41,6;39,8;35,7;40,1;36,7;33,6;31,5;32,6;33,7;33,9;33,2;32,6;31,8;30,9
Switzerland;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;33,3;35,1;39,5;44,4;47,1;50;51,3;53,7;55,9;52,7;52,2;51,1;57,7;56,9;57,8;54,9;48,5;44,8;44,8;43,1;41,5;41,9;42,6;41,9;42,1;42,2;40,9;41,8;39,8;39,6;43,2;41;37,2;38,7;37,6;36,9;36;35,1;34;33,3;32,4
Syria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;189,8;182,4;173,6;171,9;163;152,6;141,5;147,6;151,2;147,7;152,1;144,5;132,4;133,4;113;50,7;45;42,7;37,3;31,2;30;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data
São Tomé and Principe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;418,4;366,5;329,4;354,5;334,2;283,2;110,1;60,7;70,3;83;86;86,3;77,1;67,4;84,3;81,7;74,7;71,5;76,4;70,8;59,2;55,1;44,7;43,5;37,3;33,3;29,1;24,5;21,1;16,1
Taiwan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;25;23,7;23,7;26,2;30,1;29,8;32,1;33,4;34,1;33,3;32,2;33,4;36,7;36,9;38,3;39,2;38,9;37,5;35,9;35,4;34,5;33,8;32,6;32;30,1;29,5;29;26,2;24;22;20,3;18,7;17,3;16
Tajikistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;96,6;107,8;111,4;99,4;98,3;69,8;49,4;45,8;36,8;34,3;30,2;36,9;36,8;35,5;32,5;29,3;27,9;35;42,2;46,3;46,6;43,5;51,8;42,1;32,5;30,9;29,5;28,4;28,2;27,7;28;28,5;29,2
United Republic of Tanzania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;50,8;47,4;44,4;44,5;46,1;34,5;23,8;21,7;24;27,6;28,4;30;32,7;36,4;39,5;39,8;40,1;42;40,4;41,3;43,4;44,9;47,4;48,2;47,1;45,8;44,3;42,9;41,5;40,4
Thailand;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;15,2;40,5;49,9;56,6;57,8;57,5;54,9;47,5;46,3;45,5;39,2;36;34,9;42,4;39,8;39,1;41,9;42,2;43,3;42,6;41,7;41,8;41,9;41,1;49,4;58,3;60,5;62,3;63,2;64,5;66;67;67,6;68,1;68,3
Timor-Leste;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0;0;0;0;0;0;0;0;0;0;0;0;0,5;1,5;2,9;4,7;6,7;9,3;9,5;10,1;6,5;7,9;12,4;13,2;13,9;13,6;13,4;13,3;13,4;13,8
Togo;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;63,1;67,7;70,5;67,3;57,6;33,5;33,8;34,3;41,1;44,9;52,4;59,9;57,1;58;54,9;62,2;64,9;67,4;68;70,6;69,5;67,7;66;64,2;62,7;60,4
Tonga;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;38,4;43,6;53,4;60,7;56,2;52,2;43,3;39,6;37,8;34;39,7;44,7;51,9;60;48,9;47,4;51,1;49,4;44,7;45,8;42,8;42,6;43;43,8;43,9;38,2;44,1;51,7;59,5;68,1;78;88,7
Trinidad and Tobago;no data;no data;no data;no data;no data;no data;no data;no data;65,3;51,9;49,5;50;49,5;59,6;54,8;51,1;48;46,5;43,4;43,4;40,6;37,2;37,2;31,8;25,1;20,7;17,5;16,9;14,2;18,7;17,4;27,3;22,1;21,9;23,6;26,4;34,7;40,1;41,5;45,8;60,3;60,5;53;59,3;64,5;67,8;69,6;70,5;69,3;66,6;63,8
Tunisia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;63,3;62,1;63,8;63,9;65,6;66,8;66,6;58,2;61,9;62,9;52,2;51,6;52,6;51,6;50;45,7;42,7;41,4;40,3;38,8;43,3;49;45,6;50,7;52,4;58,9;67,1;72,9;67,3;77,7;79,7;82,9;82,5;83,1;82,9;84,2;85,6;87,2;89,2;90,9
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;84,9;107,9;88,2;72,9;45,1;32;22,4;15,1;9;5,6;4;4,7;4,1;6,2;10;13,8;16;12,3;14,5;18,5;20;18,7;15,3;13,3;10,7;5,8;4,7;4,6;4,5;4,4;4,2;4,1;4;4
Tuvalu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;37,3;37,5;32,4;19,7;20,5;21;19,1;19,3;17,8;16,4;14,4;11,5;12,1;11,8;11,5;12,1;11,3;5,7;4,6;3,9;3,3;3,6;4,1;6,1;9;13,5
Turkey;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;51,3;75,5;71,5;65,2;57,2;50,2;44,2;37,8;37,7;43,2;39,5;35,9;32,2;30,9;28,3;27,2;27,7;27,8;29,9;32,4;39,4;40,4;30,8;29,3;26;26,7;27,1;27,1;26,5;26,1;25,8
Uganda;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;44,2;45,1;47,7;48,5;51,4;54,7;55,1;49;42,6;27,8;17;15,7;14,8;18,4;18;19,5;22,1;24,8;28;31,3;33,6;34,9;37,5;46,3;50,3;50,2;50,2;51,8;54;54,6;54,1;53,7;53,2;52,7
Ukraine;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;28,9;46,5;59;43,8;36,7;33,6;29,4;24,8;17,7;14,8;12,3;20,4;35,4;40,6;36,9;37,5;40,5;70,3;79,3;79,5;71,6;60,4;50,5;60,5;48,9;77,7;82,3;89,8;110;108,5;103,5;100,1;96,2;92,1
United Arab Emirates;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;4,7;3,1;2,7;3,4;3,3;4,1;4,5;5,1;8,9;8,9;21,1;18,8;20,9;20,7;15,6;13,8;16,1;19,3;21,9;21,3;26,8;41,3;36,3;32,1;32,4;32,1;32,8;32,6;32;31,5;31;31
United Kingdom;42,5;44,7;43;41,8;42,2;41,3;41,3;39,3;37,1;32,5;28,5;28,5;33,2;38;40,7;43,7;43,7;44,1;42;40,4;37,7;35;35,4;36,8;39,8;41;42,1;43,2;50,8;64,9;75,9;81,4;84,5;85,3;87,1;87,9;87,8;86,7;86,3;85,7;105,8;105,1;99,6;100,4;101,2;103,9;105,4;106,1;106,5;106,5;106,1
United States;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;53,3;55,7;58,8;66,3;65,6;64,3;64,7;73,6;86,8;95,3;99,7;103,2;104,5;104,4;104,9;106,8;105,7;107;108,2;132;124,7;118,8;119;120,8;122,5;123,7;124,9;125,9;127;128,2
Uruguay;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;24,1;30,5;39,4;90,1;91,9;73,7;66,2;61,1;52,8;46,2;46,2;40,9;41,3;49,8;50;51,1;57,8;56,4;55,8;57,9;59,6;68,2;64,1;59,9;64;68,7;68,5;68,3;68;67,9;67,7;67,4
Uzbekistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;15,3;18;18,4;29,5;44,8;41,6;31,4;26,9;21;13,5;9,6;8,3;7,3;6,6;6,3;6,8;6,2;6,1;6,7;8,2;17,3;17,5;25,4;33,7;31,7;30,5;32,2;32,6;33;32,9;32,3;32;31,2;30,7
Vanuatu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;15,9;21;20,3;21,6;24,1;23,1;22,9;28;30,6;36,1;37;38,8;38,3;30,4;26,3;22,2;19,5;21,2;21,1;20,2;21,3;19,3;18,6;20,2;36,3;42,5;52,6;45,3;45,1;48;48,5;43,1;40,6;44,6;48,5;51,9;53,9;55,6;57,3;59
Venezuela;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;30,7;29,6;27,7;30,7;48,2;56;41,8;34,9;25,7;26,4;20,3;27,6;37,7;52,5;58,4;85,4;84,9;129,8;138,4;133,6;175,3;206;336,5;254,2;164,4;138,5;164,3;no data;no data;no data;no data;no data;no data
Vietnam;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;24,8;25,4;27,7;29,8;29,4;28,7;30,2;32,2;31;36,2;37,3;36,2;38,3;41,4;43,6;46,1;47,9;46,6;43,8;41;41,3;39,2;34,9;34,4;32,9;33,6;34,9;35,6;36,1;36,6;37,1
West Bank and Gaza;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;20;22,2;20,9;20,7;21,1;24;19,3;23,7;23;24;22,7;26,3;29,8;30,2;34;37,1;31;31,8;33,1;34,5;47,1;50,2;47,1;48,5;no data;no data;no data;no data;no data;no data;no data
Yemen;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;96,1;60,8;60,6;57,8;56,8;52,1;43,8;40,8;40,4;36,4;49,8;42,4;45,7;47,6;48,4;48,9;57,7;76,5;83,8;86,9;91,5;87;75,9;65,3;77,9;70,9;71,2;68,4;64;54,3;52,4;53,1
Zambia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;261;210,2;180,2;159,5;129,9;75,7;25;21,9;19,2;20,5;18,9;20,8;24,9;25,9;33,9;61,9;61,2;66,6;81,2;103,3;140;111;99,5;129,1;114,9;no data;no data;no data;no data;no data;no data
Zimbabwe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;33,1;39,4;44,7;61,1;58,7;47,6;42,9;38,4;37;42,3;48;49,9;68,9;48,1;82,3;84,5;58,2;99,5;96,6;94,6;58,6;56,1;53,3;52,3;50,5;48,3
Africa (Region);no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;64,9;63,1;58,9;54,5;49,3;42,8;35;30,6;28,7;32,5;31,9;33,5;34,3;36,7;38,3;44,7;51,2;51,8;53,9;55,7;65,1;64,2;63,7;67,6;66,8;67,2;66,9;65,9;64,7;63,4;61,8
Asia and Pacific;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;90,9;93,9;94,2;94,5;94,3;90,6;83,1;76,6;77,3;86,5;84,6;85,2;84,8;78;76,4;73,9;81,4;80,5;80,3;83,7;94,5;90,5;88,2;89,7;91;94,9;97,7;98,8;99,8;100,7;101,9
Australia and New Zealand;no data;no data;no data;no data;no data;no data;no data;no data;no data;21,8;21,2;25,9;31,2;33,7;34;32,9;30,5;27,1;25,1;23,7;20,7;18,5;16,5;14,7;13,3;12,2;11;10,5;12,6;17,5;21,3;25,1;28,3;30,9;34,1;37,3;39,7;39,9;40;44,8;55,2;54,5;49,8;48,7;50;51,5;51,5;51;50,5;50;49,7
Caribbean;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;47,9;51,6;54,8;59,3;59;55,3;53,8;50,8;46,8;47,5;51,8;54,4;56,7;56,1;55,6;55,1;56,6;61;61,2;59,7;61,8;75,4;70,5;61,6;60,9;53,8;51,6;49,7;48,4;45,8;43,5;41,9
Central America;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;35,1;37,2;38,7;46,1;42,1;40,5;37,5;32,5;30,7;33,9;34,2;34,5;36,4;38,4;38,4;38,9;40,3;41,7;43,9;46,5;59,5;55,4;52,7;51,8;51,6;51,7;51,2;50,2;49,3;47,9;46,1
Central Asia and the Caucasus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;66,6;59,4;51,3;44,2;35,7;29,8;29,7;33,8;31;27,6;25,5;24,7;23,3;24,5;25,3;26,1;27,2;28,8;35,5;35,6;27,9;27,5;25,7;26,4;27;27,3;27,2;27,2;27,1
East Asia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;77,7;78,8;79,4;87,6;97,5;101,1;104,1;106;109,3;110,9;108,3;100,7;93,8;94,9;105,3;104,6;105,6;104,1;94,3;91,3;85,7;95,9;94,6;93,1;96,6;106,9;101,5;100,1;103,1;105,6;111,8;115,9;117,9;120,1;122,2;124,8
Eastern Europe ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;56,5;45,7;40,3;38,3;35,2;30,4;26,4;22,5;20,3;20,9;26,6;27,5;27,5;27,4;29,1;32,4;35,1;35,6;32,8;31,4;30,1;39,3;36,4;35,3;37,8;40,2;44;46,2;47,4;48,5;49,5;50,4
Europe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;65,5;66,6;64;60,3;58,6;58,7;60;59,8;59,2;56,8;54,4;57,5;67,8;71,7;72,6;75;76,8;78,8;79,1;78,7;75,8;74,3;72,3;85;81,9;76,7;76,8;77,5;79,2;80,4;81;81,6;82,1;82,8
Middle East (Region);no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;47,7;52,1;60,9;55,1;58,6;43;33,4;29,1;24,3;30,4;25,9;22,9;22,5;21,8;20,9;30,5;37,7;39,3;37,3;40,5;51,4;46,9;38,1;38,9;41,4;44,9;46,7;47,5;48,4;49,2;49,7
North Africa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;71,6;68,7;64,8;65,3;65,9;64,8;59,6;57,4;51,6;44,5;38;42,9;43,4;43,8;45;49,5;50,9;57,1;65,1;64,7;64,8;64,4;74;77,6;75,3;76,3;72,8;73,6;76,1;76,8;76,5;75,8;74,5
North America;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;54;56,1;59;65,1;64,3;62,8;62,9;70,9;83,6;90,6;94,1;97,4;98,7;98,8;100,6;102,8;101,6;102,7;103,7;127,3;120,2;114,1;114,1;116,3;118,4;119,4;120,4;121,1;122;122,8
Pacific Islands ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;41,1;38,8;40;44,5;43,3;39,9;41;46,3;47,9;42,9;40,3;35,6;32,9;28,8;27,8;27,6;24,7;23,2;24,6;28,6;29,8;32,3;35,1;34,2;37,3;38,8;48,8;54,2;51,3;54,9;54,5;53,1;52,1;50,1;48,4;46,6;45
South America;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;48,3;52,6;72,2;69,2;63,4;56,7;52,6;50,5;48;51,3;50,1;49,8;50;50,8;52,6;60,1;63,9;67,5;73,4;75,3;85,1;77,6;75,3;85,4;77,8;78,3;79,7;80,5;81;80,7;80,3
South Asia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;71,6;67,2;64,5;65,9;66,5;69,7;72,5;77,5;80,6;77,2;75,9;73,8;70,4;68,8;67,8;67,6;63,9;64,4;64;63,6;63;64,3;64,4;65,1;66,3;71;81,8;78;77,3;77,2;76,8;76,6;75,8;75,1;74,2;73,2;72,1
Southeast Asia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;64,7;64,2;60,8;58,2;55,9;51,4;45,9;45,5;42,7;45,4;44;42,7;44,1;44,4;44,4;45,8;46,1;46,6;47,3;48,5;58,5;62,1;63;65,5;66,6;67,1;67,1;67;66,6;66,1;65,6
Sub-Saharan Africa (Region) ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;64,9;61,8;55,4;50,1;45,4;37,6;29,1;25,7;25,2;28,3;27,6;29,7;30,1;31,9;33,5;39,7;45,3;47,3;50,2;52,5;61,5;58,8;58,8;64;64,1;64,4;62,9;61,3;59,7;58,1;56,5
Western Europe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;52,9;57,1;62,4;64,8;66,5;68,2;67,3;66;64,5;61,6;60,4;60,8;62,4;63;63,4;61,9;60,1;64,6;74,8;80,2;82,1;85,8;87,6;88,3;86,9;86,1;84,1;82,6;81;94,1;91,3;86,4;85,6;86;87,2;88,2;88,7;89,2;89,7;90,3
Western Hemisphere (Region);no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;53,7;57,2;59,7;64,8;63,3;61,5;61;67,2;78,3;83;85;87,9;89,4;90,2;94;96,6;95,8;98;99,4;122;114,7;108,8;109,8;110,9;112,9;113,9;114,8;115,4;116;116,6
ASEAN-5;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;66,8;65,2;62,3;59,6;57,6;53;47;46,6;43,9;46,4;44,8;43,5;45;45,1;45,1;46,5;46,6;47,1;48,4;50,1;61,6;65,7;67,4;70,4;72,1;72,7;72,5;72,2;71,7;71,1;70,3
Advanced economies;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;70,2;71,3;73,4;76,7;76,2;73,5;71,2;77,8;91,1;97,4;101,3;105,6;104;103,5;103,1;105,4;103;102,5;103,6;122;115,5;109,3;108,2;108,5;110,1;110,9;111,5;112;112,6;113,3
Emerging and Developing Asia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;43,4;43,9;44,4;44,6;43,5;41,7;38,9;40,3;36,4;41,2;39,9;39;39,1;40,7;42,6;44,1;50,4;53,7;54,9;58,2;68,1;68,9;72,3;76,9;81,4;86,8;90,8;93,1;95;96,9;98,7
Emerging and Developing Europe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;50,9;50,5;47,8;43,8;37,2;32;26,7;23,3;23,5;28,8;28,5;27,2;26;27;29,2;30,9;31,7;29,8;29,4;28,9;37,6;34,9;32,5;34,4;35,6;38,8;40,9;41,8;42,4;42,9;43,5
Emerging market and developing economies;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;46,9;47,9;50,9;49,1;46,2;41,4;36,9;35,5;33,3;38,3;37,2;36,5;36,5;37,7;39,5;43,3;48,7;50,8;52,1;54,5;64,1;63,2;63,4;67,4;69,5;73,6;76,7;78,4;79,7;80,9;82
Euro area;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;71,6;73,7;73,1;72,8;71,7;69,2;68,2;68,1;69,4;69,7;70,3;68,3;65,9;69,6;80;85,4;87,2;90,8;92,7;92,9;91;89,9;87,5;85,6;83,6;96,5;93,9;89,5;87,4;87,7;88,7;89,7;90,4;91,1;91,9;92,9
European Union;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;70,7;72,7;72,1;70,6;69,6;66,6;65,6;65,6;66,9;67;67,2;64,9;62,3;65,5;75,6;80,5;82,5;86,6;88,8;89,1;87;85,9;83,3;81,3;79,1;91,3;88,4;84;82;82,5;83,6;84,7;85,4;86;86,7;87,6
Latin America and the Caribbean;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;44,6;46,4;56,7;57,3;53,4;49,3;46,6;45,3;45,3;48,3;47,4;47,5;47,6;48,8;50,8;56,6;60,3;62,6;66,2;67,2;76,2;70,4;68;73,6;70;71,1;71,9;72,2;72,3;72;71,6
